,Longitude,Latitude,avg,COUNTRY,SPECIES NAME,DBH-1,DBH-2,NFI,FF,BS
131,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
132,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
133,15.25,48.25,15.206547619047619,Austria,Abies alba,1,1,1,-9999,-9999
134,12.25,48.25,14.84761904761905,Austria,Abies alba,1,1,1,-9999,-9999
135,12.25,48.25,14.84761904761905,Austria,Abies alba,1,1,1,-9999,-9999
136,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
137,14.25,49.25,14.766666666666667,Austria,Abies alba,-9999,1,1,-9999,-9999
138,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
139,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
140,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
141,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
142,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
143,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
144,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
145,16.25,47.25,15.988690476190477,Austria,Abies alba,1,1,1,-9999,-9999
146,14.25,46.25,15.459523809523814,Austria,Abies alba,-9999,1,1,-9999,-9999
147,15.25,47.25,13.53690476190476,Austria,Abies alba,1,-9999,1,-9999,-9999
148,14.25,48.25,16.019047619047623,Austria,Abies alba,1,1,1,-9999,-9999
149,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
150,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
151,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
152,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
153,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
154,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
155,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
156,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
157,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
158,10.25,47.25,12.841071428571427,Austria,Abies alba,1,1,1,-9999,-9999
159,13.25,48.25,15.326190476190474,Austria,Abies alba,1,1,1,-9999,-9999
160,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
161,12.25,48.25,14.84761904761905,Austria,Abies alba,1,1,1,-9999,-9999
162,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
163,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
164,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
165,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
166,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
167,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
168,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
169,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
170,14.25,47.25,12.201785714285714,Austria,Abies alba,1,1,1,-9999,-9999
171,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
172,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
173,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,-9999,-9999,-9999,1
174,14.25,49.25,14.766666666666667,Austria,Abies alba,-9999,1,1,-9999,-9999
175,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
176,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
177,14.25,48.25,16.019047619047623,Austria,Abies alba,1,1,1,-9999,-9999
178,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,1,-9999
179,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
180,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
181,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
182,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
183,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
184,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
185,16.25,47.25,15.988690476190477,Austria,Abies alba,1,1,1,-9999,-9999
186,10.25,48.25,14.423809523809522,Austria,Abies alba,-9999,1,1,-9999,-9999
187,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
188,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
189,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
190,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
191,12.25,48.25,14.84761904761905,Austria,Abies alba,-9999,1,1,-9999,-9999
192,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
193,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
194,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
195,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
196,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
197,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
198,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
199,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
200,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,-9999,-9999,-9999,1
201,14.25,46.25,15.459523809523814,Austria,Abies alba,-9999,1,1,-9999,-9999
202,15.25,48.25,15.206547619047619,Austria,Abies alba,1,1,1,-9999,-9999
203,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,-9999,-9999,-9999,1
204,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
205,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
206,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
207,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
208,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
209,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
210,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
211,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
212,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
213,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
214,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
215,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
216,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
217,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
218,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
219,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,1
220,13.25,47.25,12.253571428571428,Austria,Abies alba,1,1,1,-9999,-9999
221,11.25,47.25,14.820833333333335,Austria,Abies alba,-9999,1,1,-9999,-9999
222,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
223,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
224,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
225,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
226,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
227,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
228,12.25,48.25,14.84761904761905,Austria,Abies alba,-9999,1,1,-9999,-9999
229,12.25,48.25,14.84761904761905,Austria,Abies alba,1,1,1,-9999,-9999
230,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
231,10.25,48.25,14.423809523809522,Austria,Abies alba,-9999,1,1,-9999,-9999
232,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
233,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
234,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
235,11.25,47.25,14.820833333333335,Austria,Abies alba,-9999,1,1,-9999,-9999
236,12.25,48.25,14.84761904761905,Austria,Abies alba,1,1,1,-9999,-9999
237,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
238,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
239,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
240,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
241,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
242,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
243,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
244,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
245,11.25,47.25,14.820833333333335,Austria,Abies alba,-9999,1,1,-9999,-9999
246,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,-9999,-9999,-9999,1
247,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
248,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
249,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
250,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
251,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
252,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
253,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
254,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
255,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
256,12.25,48.25,14.84761904761905,Austria,Abies alba,-9999,1,1,-9999,-9999
257,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
258,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
259,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
260,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
261,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
262,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
263,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
264,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
265,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
266,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
267,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,-9999,-9999,-9999,1
268,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
269,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
270,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
271,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
272,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
273,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
274,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
275,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
276,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
277,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
278,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
279,13.25,47.25,12.253571428571428,Austria,Abies alba,1,1,1,-9999,-9999
280,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
281,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
282,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
283,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
284,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
285,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
286,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
287,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
288,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
289,10.25,47.25,12.841071428571427,Austria,Abies alba,1,1,1,-9999,-9999
290,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
291,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
292,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
293,14.25,49.25,14.766666666666667,Austria,Abies alba,-9999,1,1,-9999,-9999
294,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
295,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
296,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
297,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
298,10.25,48.25,14.423809523809522,Austria,Abies alba,-9999,1,1,-9999,-9999
299,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
300,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
301,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
302,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
303,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
304,15.25,49.25,13.989285714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
305,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
306,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
307,13.25,47.25,12.253571428571428,Austria,Abies alba,1,1,1,-9999,-9999
308,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
309,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
310,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
311,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,-9999,-9999,-9999,1
312,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
313,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
